epoch,score,best_score,mode,action,target_layer,target_block,reason,growth_detail,seconds,train_block_mse,train_block_cos,train_delta_mse,train_delta_cos,train_norm_mse,train_norm_cos,val_block_mse,val_block_cos,val_delta_mse,val_delta_cos,val_norm_mse,val_norm_cos
15,0.11275940271466971,0.11275940271466971,EXPLOIT,sharpen,-1,-1,significant_best,none,18.908323526382446,0.10919395306458075,0.9706596439083417,0.10919395294040442,0.9165642485022545,0.028502201040585835,0.9856468652685483,0.10783905610442161,0.9710030376911163,0.10783905573189259,0.9176878511905671,0.028271767683327197,0.9857636749744415
16,0.11382323862736425,0.11382323862736425,WAIT,noop,-1,-1,normal,none,18.76550555229187,0.10718795681993167,0.9711140597860018,0.10718795688201983,0.9181918933987617,0.02808988663988809,0.9858559856812159,0.1065995242446661,0.9713588356971741,0.10659952349960804,0.9186059445142746,0.027977910172194243,0.9859128415584564
17,0.11427831711868446,0.11427831711868446,EXPLOIT,sharpen,-1,-1,significant_best,none,18.481321811676025,0.10638386942446232,0.9712987874945005,0.10638386886566878,0.9188093726833662,0.027758466250573596,0.9860239788889885,0.10611433312296867,0.9714724242687225,0.10611433275043965,0.9190099209547042,0.027537503838539125,0.9861359477043152
18,0.11507061802968384,0.11507061802968384,WAIT,noop,-1,-1,normal,none,18.416691303253174,0.10566978926459948,0.9714904631177584,0.10566978914042315,0.9193496202429136,0.027362281549721958,0.986224815249443,0.10523223355412484,0.9717487245798111,0.1052322342991829,0.9196900963783264,0.027053758781403304,0.9863812327384949
19,0.11540358165527384,0.11540358165527384,GROW,add_step,1,0,plateau_head_loss_weighted_operator_pressure,activated_step_2_in_L1B0,18.55039072036743,0.10513077676296234,0.971629835665226,0.10513077688713869,0.9197780226667722,0.027065882971510292,0.9863750273982684,0.10481383390724659,0.9716712981462479,0.10481383316218854,0.9200032681226731,0.02699527991935611,0.986410865187645
20,0.11494795333221555,0.11540358165527384,WAIT,noop,-1,-1,normal,none,21.12765336036682,0.1058275606483221,0.9714672019084295,0.10582756071041027,0.9192580655217171,0.027326973589758077,0.986242717007796,0.10502936616539955,0.9718695849180221,0.10502936616539955,0.9199818551540375,0.026831421349197627,0.9864938735961915
21,0.1155109683002035,0.1155109683002035,GROW,add_step,1,0,plateau_head_loss_weighted_operator_pressure,activated_step_3_in_L1B0,20.943543195724487,0.10456261622409026,0.9717887471119563,0.10456261634826661,0.9202652061978976,0.02671380378305912,0.9865535239378611,0.1042027860879898,0.9718973189592361,0.10420278683304787,0.9205031573772431,0.026696783117949964,0.986562180519104
22,0.11632370353862645,0.11632370353862645,EXPLOIT,sharpen,-1,-1,significant_best,none,23.262596368789673,0.10425953877468903,0.9718700513243675,0.10425953834007183,0.9204916854699453,0.026602084655314683,0.986610104640325,0.10362226702272892,0.9720158517360687,0.10362226702272892,0.9209536433219909,0.026237366255372763,0.9867949038743973
23,0.1164379404038191,0.1164379404038191,WAIT,noop,-1,-1,normal,none,22.895397663116455,0.1034328211719791,0.9720828120907148,0.10343282123406729,0.9211304525534312,0.026210879829401772,0.98680831938982,0.10345380902290344,0.9720069855451584,0.10345380939543247,0.9211089849472046,0.026333972066640853,0.9867458522319794
24,0.11721726273000241,0.11721726273000241,GROW,add_depth,1,0,plateau_head_loss_weighted_operator_pressure,activated_layer_4_at_order_2_ref_2,23.818612098693848,0.10292587969452142,0.9722174445788065,0.1029258795082569,0.9215597078204155,0.02600357240686814,0.9869132762153944,0.10276299715042114,0.9722664088010788,0.10276299715042114,0.9217027932405472,0.025858719274401663,0.9869866818189621
25,0.11806959230825306,0.11806959230825306,EXPLOIT,sharpen,-1,-1,significant_best,none,26.619081735610962,0.10265942104160786,0.972278194129467,0.10265942141413689,0.9217371255159378,0.025949096229548257,0.9869409248232841,0.10195499323308468,0.97249376475811,0.10195499397814274,0.9223231643438339,0.02556073060259223,0.987137570977211
26,0.11839350314686696,0.11839350314686696,WAIT,noop,-1,-1,normal,none,26.27579426765442,0.10188198151687781,0.9724692548314731,0.1018819817652305,0.922352812687556,0.025561514170840384,0.9871371706326802,0.101704016700387,0.9725788593292236,0.10170401632785797,0.9224916517734527,0.025513668172061445,0.9871614068746567
27,0.11872727361693979,0.11872727361693979,GROW,add_depth,1,0,plateau_head_loss_weighted_operator_pressure,activated_layer_5_at_order_2_ref_4,26.65393042564392,0.10156169161200523,0.9725468148787816,0.10156169179826975,0.9226150388518969,0.025398619814465444,0.9872197056810061,0.10142655707895756,0.9725278735160827,0.10142655745148658,0.9226420551538468,0.025422817561775446,0.9872075587511062
28,0.11938138900324705,0.11938138900324705,WAIT,noop,-1,-1,normal,none,30.679033994674683,0.10108841167141994,0.9726810415585836,0.10108841167141994,0.9230335727334023,0.025293458687762418,0.9872729882597924,0.10081063210964203,0.9727948546409607,0.10081063136458397,0.9231779307126999,0.025226016249507665,0.9873071402311325
29,0.11928798531368374,0.11938138900324705,GROW,add_depth,1,0,plateau_head_loss_weighted_operator_pressure,activated_layer_6_at_order_2_ref_5,36.01372003555298,0.10030789741625389,0.972888411084811,0.1003078976025184,0.9236411526799202,0.02501122128839294,0.9874159107605617,0.10082152709364892,0.9725707411766052,0.10082152746617794,0.9231797367334366,0.02531338604167104,0.9872629702091217
30,0.12036491137122116,0.12036491137122116,EXPLOIT,sharpen,-1,-1,significant_best,none,40.62700438499451,0.09994983344028394,0.9729690467317899,0.09994983368863662,0.9239443893233935,0.02491527150074641,0.9874644403656324,0.09953721612691879,0.9731199443340302,0.0995372150093317,0.9242377161979676,0.024823273066431284,0.9875109851360321
31,0.1205672730319202,0.1205672730319202,WAIT,noop,-1,-1,normal,none,32.942073822021484,0.09930365495383739,0.973137358824412,0.09930365482966105,0.9244405036171277,0.0246854519781967,0.9875807940959931,0.099180344119668,0.9731038719415664,0.09918034486472607,0.9244696944952011,0.024756431486457585,0.9875448435544968
32,0.12120436286802093,0.12120436286802093,GROW,add_depth,1,0,plateau_head_loss_weighted_operator_pressure,activated_layer_7_at_order_2_ref_6,32.83714437484741,0.09885380224635204,0.973241326212883,0.09885380206008752,0.9247859145204226,0.024570448277518152,0.9876389920711517,0.09838840886950492,0.9733045011758804,0.09838840886950492,0.9251215368509292,0.024367400351911782,0.987741795182228
33,0.12175258578235905,0.12175258578235905,WAIT,noop,-1,-1,normal,none,35.54836320877075,0.09799982601155838,0.9734453911582629,0.09799982607364655,0.9254811197519303,0.024489753072460492,0.9876798659563064,0.09742916263639927,0.973440757393837,0.09742916375398636,0.9259357839822769,0.02450980031862855,0.9876697361469269
34,0.12257989589621625,0.12257989589621625,EXPLOIT,sharpen,-1,-1,significant_best,none,34.85571765899658,0.0969308249031504,0.9736691867311795,0.09693082496523857,0.9262998382250468,0.024353899232422312,0.9877486447493236,0.0964850552380085,0.9738242596387863,0.09648505561053752,0.9266158282756806,0.02423506323248148,0.987808781862259
35,0.12289479327077668,0.12289479327077668,WAIT,noop,-1,-1,normal,none,34.79645395278931,0.09642824617524942,0.9737924064199129,0.09642824611316124,0.9266854465007782,0.024177122473095853,0.987838110824426,0.09619409516453743,0.9737359583377838,0.09619409553706645,0.9268982529640197,0.024028642941266297,0.9879132509231567
36,0.12343964648246766,0.12343964648246766,GROW,add_width,1,0,plateau_head_loss_weighted_operator_pressure,activated_block_4_in_layer_1,34.96966552734375,0.09600141191234192,0.9738990008831024,0.09600141160190105,0.9269890442490578,0.02400740715675056,0.9879240080714226,0.09554241858422756,0.9739494800567627,0.09554241821169854,0.9273637801408767,0.023826320096850394,0.9880156844854355
37,0.1233727275878191,0.12343964648246766,WAIT,noop,-1,-1,normal,none,34.94924473762512,0.09669371961305538,0.973725467423598,0.09669371955096721,0.9265008687973022,0.024458945930625,0.9876954664786657,0.09575897827744484,0.9738998234272003,0.09575897753238678,0.9272147059440613,0.023975032195448876,0.9879403710365295
38,0.12380453881869713,0.12380453881869713,GROW,add_width,1,0,plateau_head_loss_weighted_operator_pressure,activated_block_5_in_layer_1,35.07100319862366,0.09552138733367126,0.974016723036766,0.09552138689905405,0.9274440194169681,0.023781661968678237,0.9880382657051087,0.09523674212396145,0.9740888565778733,0.09523674249649047,0.9275612533092499,0.023662705160677432,0.9880984246730804
39,0.12410060395176213,0.12410060395176213,EXPLOIT,sharpen,-1,-1,significant_best,none,35.040443420410156,0.09496644188960393,0.974148491024971,0.09496644170333941,0.9278315991163254,0.023606147213528553,0.9881270810961723,0.09487037323415279,0.9742327868938446,0.09487037360668182,0.9279282987117767,0.023579114768654107,0.9881408125162124
40,0.12411701360593237,0.12411701360593237,WAIT,noop,-1,-1,normal,none,35.00697445869446,0.09466319438070059,0.9742345114549001,0.09466319444278876,0.9280869747201602,0.02346993541965882,0.9881960009535153,0.09473702162504197,0.9741110116243362,0.09473702162504197,0.9279795795679092,0.023567925952374936,0.9881463915109634
41,0.12500711903100215,0.12500711903100215,GROW,add_width,1,0,plateau_head_loss_weighted_operator_pressure,activated_block_6_in_layer_1,34.880534648895264,0.09410580514619747,0.9743588040272395,0.09410580533246199,0.928493399421374,0.023347285172591607,0.9882580583294233,0.0936018768697977,0.9744489818811417,0.0936018768697977,0.9289536327123642,0.023304677661508323,0.9882796466350555
42,0.12546380317086978,0.12546380317086978,WAIT,noop,-1,-1,normal,none,34.93227171897888,0.09339233251909415,0.974514872332414,0.09339233264327049,0.9290636559327443,0.023319364928950866,0.9882721429069837,0.09299343600869178,0.9744981527328491,0.09299343638122082,0.9294304400682449,0.023197456169873475,0.9883338809013367
43,0.12613710819929838,0.12613710819929838,EXPLOIT,sharpen,-1,-1,significant_best,none,35.23607277870178,0.0925446322808663,0.9747202768921852,0.09254463197042545,0.9297748938202858,0.023174270677069824,0.9883455802996953,0.09208683855831623,0.9748178988695144,0.09208683855831623,0.9301435083150864,0.023101909272372722,0.9883821755647659
44,0.1272602546811104,0.1272602546811104,WAIT,noop,-1,-1,normal,none,35.35268712043762,0.09140972600628933,0.9749533325433731,0.09140972613046566,0.9306606893738111,0.023008915533622106,0.9884292225042979,0.09072333574295044,0.975086921453476,0.0907233353704214,0.9311647891998291,0.022870521619915964,0.9884992510080337
45,0.1278080414098998,0.1278080414098998,EXPLOIT,sharpen,-1,-1,significant_best,none,35.14064860343933,0.09034433973332247,0.975171389679114,0.0903443398574988,0.931465694308281,0.02285735933110118,0.9885059023896853,0.08998995684087277,0.9754296213388443,0.08998995721340179,0.9317783802747727,0.022840723302215336,0.9885144382715225
