epoch,train_loss,train_ce,train_reg,train_acc,val_loss,val_acc,best_acc,class_cos,logits_cell_norm,stage_lb,evidence_lb,operator_lb,register_diversity,global_diversity,memory_diversity,operator_entropy_per_block,block_diversity,route_diversity,adapter_diversity,phase_role,global_skip_penalty,late_write,late_dyn_gate,weak_class_late_read,role_diversity,role_anchor,category_diversity,category_entropy,signal_op_bias_norm,lr,current_late_gate_floor,speed_data_ms,speed_forward_ms,speed_backward_ms,speed_optimizer_ms
1,2.224647234844905,2.146461881617064,6.707250736081899e-07,0.19363239247311828,1.9973457069396974,0.252,0.252,0.8510409593582153,2.9413743913173676,0.007690713158808649,0.00028949324587301817,0.1306875143200159,1.4833984375,0.80224609375,0.67919921875,0.019566376693546772,0.9812131002545357,0.9998781830072403,2.8688918973784894e-06,0.22174144722521305,0.0,0.0,0.0,0.0,5.647829887100997e-08,0.008222694741562009,0.9986192584037781,0.48072627931833267,1.6883372515439987,0.00035,0.25,12.428497451647642,187.70819925828286,341.1889297418501,12.994973441011332
2,2.0146767195834907,1.9461970316466464,6.134846242481041e-07,0.28091397849462363,1.8290455179214478,0.3285,0.3285,0.570432722568512,3.096275418996811,0.021262013353407383,0.005053860368207097,0.1836632788181305,0.8876953125,0.41259765625,0.475830078125,0.03873677738010883,0.9729777425527573,0.9995939061045647,7.750255463179201e-06,0.1582962740212679,0.0,0.0,0.0,0.002396801020950079,0.01963241840712726,0.008444828446954489,0.9980100840330124,0.2194969728589058,2.4677990674972534,0.0007,0.25,11.785904472993915,183.35165433319327,343.10461777411507,12.305484591256915
3,1.8604809238064675,1.8039401987547516,6.149203624860797e-07,0.32560483870967744,1.6222407712936402,0.395,0.395,0.4633331000804901,4.660677075386047,0.025971740717068315,0.004895872494671494,0.08636268507689238,0.654296875,0.29736328125,0.357177734375,0.01946606719866395,0.9403846487402916,0.9995939135551453,7.436510713887401e-06,0.11575542762875557,0.0,0.0,0.0,0.0,0.013773871003650129,0.004190347972325981,0.9983760565519333,0.2931159697473049,2.580795794725418,0.0006913551906842505,0.25,11.912806720506671,181.0724977631155,341.87127140830853,12.369152333512927
4,1.7150648832321167,1.66666696276716,6.386722854282804e-07,0.3802083333333333,1.7021935129165648,0.3565,0.395,0.28262659907341003,4.560255348682404,0.05019064201042056,0.0070179939502850175,0.14893020503222942,0.5517578125,0.289794921875,0.261962890625,0.04883562447503209,0.9365797117352486,0.9999187886714935,1.8768296285998076e-05,0.06866923905909061,0.0,0.0,0.0,0.0,0.0,0.004385968786664307,0.9994720742106438,0.11822154186666012,2.6207986176013947,0.0006659231676318299,0.25,12.212569225632388,183.5229637525958,338.8682642256245,12.487346913946556
5,1.6348897654523131,1.5899497885857858,6.699813752675254e-07,0.40835013440860213,1.4722835063934325,0.4665,0.4665,0.24167755246162415,5.43609881401062,0.05091122863814235,0.004633239179383963,0.09063733369112015,0.4375,0.283447265625,0.154052734375,0.024027164559811354,0.9137702211737633,0.9998781830072403,1.4185682630341034e-05,0.06303163804113865,0.0,9.926504844770534e-05,7.508164090452851e-10,0.0,0.0,0.003096274856943637,0.9998375773429871,0.17616736516356468,3.1264911592006683,0.0006251819475809026,0.25,11.643865172030225,183.35539869862728,341.38593973134397,12.726426838555433
6,1.5206886376104047,1.4783623692809895,7.155571877344193e-07,0.455057123655914,1.4145780382156372,0.481,0.481,0.23325172066688538,6.074770390987396,0.04833286488428712,0.007482219429221004,0.08173913415521383,0.369384765625,0.2998046875,0.06939697265625,0.024166819639503956,0.8419370800256729,0.9994720816612244,6.072421456337906e-06,0.06098687835037708,0.0,0.002672409318620339,0.0005734821825171821,0.0,0.0,0.002604215027531609,0.9992284178733826,0.15565522015094757,2.9356633722782135,0.0005714992621525188,0.2375,11.584937527024072,183.1158622906084,344.575569096681,12.532317956943336
7,1.4381028798318678,1.397594363458695,8.16244470990901e-07,0.4876512096774194,1.3491273927688598,0.5195,0.5195,0.22024451196193695,6.3488598465919495,0.044725645799189806,0.0038231984653975815,0.05364984693005681,0.333984375,0.2880859375,0.04595947265625,0.019239585613831878,0.8094434887170792,0.9995533004403114,6.8402005126699805e-06,0.04354936629533768,0.0,0.0010020182380685583,0.0006345247675199062,0.0,0.0,0.0014362616784637794,0.9977664276957512,0.15526370890438557,2.987169027328491,0.0005079949538951543,0.225,11.723832451318758,181.40095648367048,340.22318159133977,12.444767752669812
8,1.3609223045328611,1.3223267550109534,9.013245733425015e-07,0.5131888440860215,1.3081515607833862,0.5295,0.5295,0.1866721659898758,6.566871285438538,0.04982380475848913,0.005578511161729693,0.06288537802174687,0.322998046875,0.2841796875,0.038482666015625,0.019562910543754697,0.7958788350224495,0.9981319308280945,5.294799848343246e-06,0.038105329498648643,0.0,5.618784888383743e-05,1.7700460830383236e-06,1.1942606061410288e-05,1.0396045468041848e-05,0.0009612508802092634,0.999715730547905,0.13210352323949337,3.1143039762973785,0.0004383596623759586,0.2125,11.359181795635395,178.3274714624142,334.41823239819087,12.177610429853791
9,1.2850696732920985,1.2482020842131747,9.444988314322884e-07,0.5426747311827957,1.2610470533370972,0.547,0.547,0.18801990151405334,6.751814842224121,0.044221105985343456,0.007203642628155649,0.04997420171275735,0.31298828125,0.28173828125,0.031494140625,0.02049907250329852,0.6694673076272011,0.9959806799888611,3.972180820710491e-06,0.03371639735996723,0.0,0.0001840752711359528,0.0009113829873967916,0.00016379704175051302,8.582285246916399e-07,0.00011743383038265165,0.9981725439429283,0.14190817438066006,2.9715597331523895,0.00036664033762404146,0.2,11.423845473042894,176.62392883874182,330.9691786880355,11.958407914046616
10,1.216914109004441,1.1824511052459798,9.857878359726265e-07,0.5690524193548387,1.2506283702850343,0.552,0.552,0.1876688003540039,7.178145468235016,0.04263378120958805,0.006064238375984132,0.047230711206793785,0.34423828125,0.30908203125,0.03466796875,0.01706337812356651,0.5380925536155701,0.9905176386237144,1.691451643637265e-06,0.04304617643356323,0.0,0.00013896063228457933,2.843155016307719e-05,0.00010983813899656525,0.0005212542382651009,2.7714747602658463e-05,0.9991065859794617,0.1509992852807045,3.121731847524643,0.0002970050461048456,0.1875,11.71853945158536,180.02512920456962,337.80630608578247,12.23724695701485
