epoch,score,best_score,mode,action,target_layer,target_block,target_step,reason,growth_detail,step_score,depth_score,width_score,primitive_score,prune_score,seconds,train_block_mse,train_block_cos,train_delta_mse,train_delta_cos,train_norm_mse,train_norm_cos,val_block_mse,val_block_cos,val_delta_mse,val_delta_cos,val_norm_mse,val_norm_cos
16,0.11248896741991243,0.11248896741991243,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.4143196866118485,0.35301541776588563,0.37385952659530863,-0.19449504996213365,-999.0,33.87379336357117,0.11003002456078927,0.9704885875185331,0.11003002468496562,0.9159225766857465,0.028481516785298786,0.9856572677691777,0.10911464728415013,0.9708455294370651,0.10911464765667915,0.9166015416383744,0.02825792534276843,0.9857707321643829
17,0.1135257009503742,0.1135257009503742,WAIT,noop,-1,-1,-1,normal,none,0.4143196866118485,0.35301541776588563,0.37385952659530863,-0.19449504996213365,-999.0,29.374464988708496,0.10875371613850196,0.9707838634649912,0.10875371638685465,0.91691824644804,0.028104336264853678,0.9858485385775566,0.1081186879426241,0.9710461139678955,0.10811868719756604,0.9174095869064331,0.02779041128233075,0.9860077232122422
18,0.11419474395985404,0.11419474395985404,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.4143196866118485,0.35301541776588563,0.37385952659530863,-0.19449504996213365,-999.0,28.31038188934326,0.10778699678679307,0.9710379774371783,0.10778699666261674,0.9176598742604256,0.027639031518871586,0.9860844607154529,0.10741608701646328,0.9710400134325028,0.10741608701646328,0.9179384261369705,0.02750969910994172,0.9861500799655915
19,0.1150102843393882,0.1150102843393882,WAIT,noop,-1,-1,-1,normal,none,0.4143196866118485,0.35301541776588563,0.37385952659530863,-0.19449504996213365,-999.0,33.41842436790466,0.10715980560829243,0.9711921021342278,0.10715980523576339,0.9181595236063004,0.027323301353802284,0.9862444917360942,0.10663388073444366,0.9712941467761993,0.10663388036191464,0.9185532987117767,0.027082226425409316,0.9863667905330658
20,0.11594402058919273,0.11594402058919273,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.4143196866118485,0.35301541776588563,0.37385952659530863,-0.19449504996213365,-999.0,28.95465111732483,0.10626139963666598,0.9714187612136205,0.10626139963666598,0.9189090793331464,0.027064714580774307,0.9863755842049916,0.10523490458726883,0.9717312783002854,0.10523490384221076,0.9197994112968445,0.026972783356904985,0.9864221215248108
21,0.11661034874493877,0.11661034874493877,WAIT,noop,-1,-1,-1,normal,none,0.4143196866118485,0.35301541776588563,0.37385952659530863,-0.19449504996213365,-999.0,34.50689911842346,0.10458235573023558,0.9718045050899188,0.1045823556681474,0.9202465042471886,0.026792436791583895,0.9865136290589969,0.10436473488807678,0.9716583102941513,0.10436473526060581,0.9203726708889007,0.02677085706964135,0.9865246087312698
22,0.11728681028510135,0.11728681028510135,GROW,add_depth,2,0,1,plateau_step_planner_attention,activated_layer_4_at_order_3_ref_3,0.30061018310803334,0.40553841156689735,0.3837149634498943,-0.13868830316467212,-999.0,29.097326517105103,0.10384175994743904,0.9719768231113751,0.10384176025787989,0.9208227703968684,0.026525130836913983,0.9866490498185158,0.10362067148089409,0.9720117747783661,0.10362067148089409,0.9209528714418411,0.0265161189250648,0.9866536170244217
23,0.11758844999720654,0.11758844999720654,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.30061018310803334,0.40553841156689735,0.3837149634498943,-0.13868830316467212,-999.0,38.39829421043396,0.10355070866644382,0.9720419863859813,0.1035507082939148,0.9210375974575679,0.02648152926315864,0.9866711104909579,0.10300937481224537,0.9722248494625092,0.10300937481224537,0.9214601784944534,0.026151216588914394,0.9868383944034577
24,0.11829330806061628,0.11829330806061628,WAIT,noop,-1,-1,-1,normal,none,0.30061018310803334,0.40553841156689735,0.3837149634498943,-0.13868830316467212,-999.0,38.27818727493286,0.10262683555483817,0.9722935855388641,0.10262683536857367,0.9217956980069478,0.025992687605321408,0.9869187464316685,0.10229752026498318,0.97233746945858,0.10229751951992512,0.9220703661441803,0.025791410263627766,0.9870207130908966
25,0.11901340615501008,0.11901340615501008,GROW,add_width,2,0,1,plateau_step_planner_attention,activated_block_4_in_layer_2,0.28639384179817057,0.33955095756485487,0.37287658913679966,-0.13259125720593148,-999.0,38.148818492889404,0.1020954583461086,0.9724303334951401,0.10209545822193225,0.922182920575142,0.02572803261379401,0.9870528052250545,0.10151961892843246,0.9725111782550812,0.10151961855590344,0.9226667523384094,0.02542033400386572,0.9872085988521576
26,0.11908237582072619,0.11908237582072619,WAIT,noop,-1,-1,-1,normal,none,0.28639384179817057,0.33955095756485487,0.37287658913679966,-0.13259125720593148,-999.0,43.264315366744995,0.10152761172503233,0.972562796374162,0.10152761203547318,0.9226332987348239,0.0254858425197502,0.9871754482388496,0.10148592069745063,0.9725634634494782,0.10148591995239258,0.9226669549942017,0.02553311912342906,0.9871515482664108
27,0.11989401062205435,0.11989401062205435,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.28639384179817057,0.33955095756485487,0.37287658913679966,-0.13259125720593148,-999.0,24.668139457702637,0.10115860495716333,0.972653841972351,0.10115860508133968,0.9229334021608034,0.02528251640809079,0.9872784465551376,0.10059250444173813,0.9727464377880096,0.1005925040692091,0.9233019173145294,0.02510162414982915,0.9873700171709061
28,0.1204359777197242,0.1204359777197242,WAIT,noop,-1,-1,-1,normal,none,0.28639384179817057,0.33955095756485487,0.37287658913679966,-0.13259125720593148,-999.0,24.582003355026245,0.10045628529042006,0.9728457346558571,0.1004562849799792,0.9235340123375256,0.0250147659642001,0.9874140386780103,0.0999682169407606,0.9728727608919143,0.09996821582317353,0.9238325029611587,0.024935786612331867,0.9874538868665695
29,0.1211700846577684,0.1211700846577684,GROW,add_depth,2,0,1,plateau_step_planner_attention,activated_layer_5_at_order_3_ref_4,0.283418430866322,0.3402848062084779,0.28386990052139627,-0.1301749890728388,-999.0,24.78938364982605,0.09961278246094783,0.9730580295125644,0.09961278246094783,0.9241916507482528,0.024814647575840353,0.9875153472026189,0.099000483751297,0.9731755048036576,0.099000483751297,0.9246247172355652,0.02468531709164381,0.9875807404518128
30,0.1216136310858031,0.1216136310858031,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.283418430866322,0.3402848062084779,0.28386990052139627,-0.1301749890728388,-999.0,30.701627731323242,0.09880042510728042,0.9732342715064685,0.09880042529354492,0.9248541419704756,0.02475825051466624,0.9875438084204992,0.09823827482759953,0.9733263254165649,0.09823827482759953,0.9252624303102494,0.02453795550391078,0.9876553326845169
31,0.12236044069627923,0.12236044069627923,WAIT,noop,-1,-1,-1,normal,none,0.283418430866322,0.3402848062084779,0.28386990052139627,-0.1301749890728388,-999.0,30.731961965560913,0.09785081800073385,0.9734542886416118,0.09785081781446933,0.9255903740723928,0.024498620148127277,0.9876752739151319,0.09743384271860123,0.9735201507806778,0.09743384271860123,0.9258508890867233,0.024377905949950218,0.9877363294363022
32,0.12309370984012884,0.12309370984012884,GROW,add_width,5,0,2,plateau_step_planner_attention,activated_block_4_in_layer_5,0.15345032909393577,0.268338020130663,0.33279287924173645,-0.1951579179405235,-999.0,30.86991596221924,0.09717430174350739,0.9736115470528602,0.09717430168141922,0.9261139358083407,0.024287712325652442,0.9877819895744324,0.09669959507882595,0.9737264484167099,0.09669959507882595,0.9264578700065613,0.024051416385918855,0.9879016280174255
33,0.12308283262948197,0.12309370984012884,WAIT,noop,-1,-1,-1,normal,none,0.15345032909393577,0.268338020130663,0.33279287924173645,-0.1951579179405235,-999.0,30.605474710464478,0.09669664781540632,0.9737320174773534,0.09669664787749449,0.9265111327171326,0.024097840782875815,0.9878781070311864,0.09671802595257759,0.9735440015792847,0.09671802520751953,0.9264991641044616,0.024108902737498283,0.9878724992275238
34,0.12354607964182894,0.12354607964182894,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.15345032909393577,0.268338020130663,0.33279287924173645,-0.1951579179405235,-999.0,30.275534629821777,0.09626105489830176,0.9738157868385315,0.09626105464994908,0.9268276577194532,0.023905808261285227,0.9879752879341444,0.09616849534213542,0.9737580239772796,0.0961684949696064,0.9268643945455551,0.02395727625116706,0.9879492580890655
35,0.12396987539902331,0.12396987539902331,WAIT,noop,-1,-1,-1,normal,none,0.15345032909393577,0.268338020130663,0.33279287924173645,-0.1951579179405235,-999.0,30.432379007339478,0.09586611669510603,0.9739117165406544,0.09586611657092968,0.9271294593811035,0.023726846867551405,0.9880658512314161,0.09579977206885815,0.9738367676734925,0.09579977244138718,0.9272084981203079,0.02362021738663316,0.9881197899580002
36,0.12466429136693477,0.12466429136693477,GROW,add_step,5,4,1,plateau_step_planner_attention,activated_step_1_in_L5B4,0.3744386156596231,0.25411083061838907,0.23778062850405376,-0.19536242910908186,-999.0,30.29662251472473,0.09536990982790788,0.9740352352460225,0.0953699095795552,0.9274876728653908,0.02354612904600799,0.9881572862466176,0.09495481736958027,0.9740828722715378,0.0949548177421093,0.9278281629085541,0.023468789458274842,0.9881964325904846
37,0.12518357083946466,0.12518357083946466,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.3744386156596231,0.25411083061838907,0.23778062850405376,-0.19536242910908186,-999.0,30.412956953048706,0.09485077162583669,0.9741532842318217,0.09485077168792486,0.927955994506677,0.023444497973347703,0.9882087056835492,0.09434934668242931,0.9743307054042816,0.09434934630990029,0.9283311814069748,0.023239032737910746,0.9883125960826874
38,0.12575049722567203,0.12575049722567203,WAIT,noop,-1,-1,-1,normal,none,0.3744386156596231,0.25411083061838907,0.23778062850405376,-0.19536242910908186,-999.0,30.24823021888733,0.09407696432123581,0.9743313640356064,0.09407696432123581,0.9285834257801374,0.023273004110281666,0.9882954652110736,0.09356371089816093,0.9744708329439163,0.09356371127068996,0.9288827747106552,0.023167689237743615,0.9883486956357956
39,0.1262453984618187,0.1262453984618187,GROW,add_width,4,2,1,plateau_step_planner_attention,activated_block_4_in_layer_4,0.28538518975313854,0.21326198585767447,0.30483532296303834,-0.16756672298535705,-999.0,30.068938970565796,0.09316905221591393,0.9745303238431613,0.09316905209173759,0.9292490710814794,0.023097700066864492,0.9883841464916865,0.09297465905547142,0.9745079189538955,0.09297465868294238,0.9294242709875107,0.022998062148690223,0.9884345322847367
40,0.12633438367893302,0.12633438367893302,WAIT,noop,-1,-1,-1,normal,none,0.28538518975313854,0.21326198585767447,0.30483532296303834,-0.16756672298535705,-999.0,30.67511773109436,0.09272131063044071,0.9746335685253144,0.0927213104441762,0.9296179309487342,0.022979681752622126,0.9884438320994378,0.09284716919064522,0.9744339942932129,0.09284716844558716,0.9294707506895066,0.023123539797961713,0.9883709877729416
41,0.1276926301221053,0.1276926301221053,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.28538518975313854,0.21326198585767447,0.30483532296303834,-0.16756672298535705,-999.0,30.17288851737976,0.09195956209053596,0.9748022998372714,0.09195956190427144,0.9301863918701808,0.022859008548160396,0.9885048831502596,0.09120654389262199,0.9750268489122391,0.09120654389262199,0.9308402985334396,0.02271416112780571,0.9885781198740006
42,0.1282672952724,0.1282672952724,WAIT,noop,-1,-1,-1,normal,none,0.28538518975313854,0.21326198585767447,0.30483532296303834,-0.16756672298535705,-999.0,31.416460275650024,0.09097812039156755,0.9750159442424774,0.09097812032947937,0.9309661731123924,0.02278036349453032,0.9885446364680927,0.09042910933494568,0.9751384407281876,0.09042910896241665,0.9314438492059708,0.02261568633839488,0.9886279344558716
43,0.12875794620066883,0.12875794620066883,GROW,add_step,3,3,1,plateau_step_planner_attention,activated_step_1_in_L3B3,0.3210445800996796,0.1504709771084633,0.2573253071800419,-0.19555823481874543,-999.0,31.44523334503174,0.09017868973314762,0.9752066905299822,0.09017868923644225,0.9316363900899887,0.02264281311072409,0.9886142179369927,0.0897219367325306,0.9752408981323242,0.0897219367325306,0.9320063024759293,0.022594250179827212,0.9886387646198272
44,0.1290726266279817,0.1290726266279817,WAIT,noop,-1,-1,-1,normal,none,0.3210445800996796,0.1504709771084633,0.2573253071800419,-0.19555823481874543,-999.0,31.59301495552063,0.08957030729701122,0.9753342320521673,0.08957030686239402,0.9321077078580856,0.022506763506680728,0.9886829992135365,0.08942495249211788,0.9754702597856522,0.08942495286464691,0.9321952372789383,0.022398765943944455,0.9887376159429551
45,0.1296848400272429,0.1296848400272429,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.3210445800996796,0.1504709771084633,0.2573253071800419,-0.19555823481874543,-999.0,30.738301992416382,0.08899587119619051,0.975466783841451,0.08899587088574966,0.9325270692507426,0.02235333635471761,0.9887606233358384,0.08870066925883294,0.9756707787513733,0.08870066925883294,0.9327878266572952,0.022202921379357577,0.988836658000946
