epoch,score,best_score,mode,action,target_layer,target_block,target_step,reason,growth_detail,step_score,depth_score,width_score,primitive_score,prune_score,seconds,train_block_mse,train_block_cos,train_delta_mse,train_delta_cos,train_norm_mse,train_norm_cos,val_block_mse,val_block_cos,val_delta_mse,val_delta_cos,val_norm_mse,val_norm_cos
1,0.0021323555062214795,0.0021323555062214795,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,17.67994785308838,0.6828418254852295,0.9181371415654819,0.6828418247401714,0.5911768431620051,0.11389073971658945,0.9426585584878922,0.2418896920979023,0.9569687604904175,0.24188969433307647,0.8475831836462021,0.07363595180213452,0.9625081300735474
2,0.06369939365734659,0.06369939365734659,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,17.48129177093506,0.19011795942982038,0.9588392967979114,0.19011795880893867,0.8682044669985771,0.06877574197327098,0.9650012786189716,0.15932552814483641,0.9604852288961411,0.15932552739977837,0.8796083450317382,0.062214395590126516,0.9683934539556504
3,0.08325649314622084,0.08325649314622084,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,16.21396803855896,0.14592618395884832,0.9617029964923859,0.14592618358631929,0.8874917154510816,0.0541492648422718,0.9725472534696261,0.13912068381905557,0.9626821160316468,0.13912068158388138,0.8923081964254379,0.048594122752547264,0.9754020780324936
4,0.09490387550244732,0.09490387550244732,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,16.02942156791687,0.13197473312417665,0.9646466727058093,0.13197473300000032,0.8981895178556443,0.04468961947908004,0.9774007499217987,0.126800324767828,0.9661097526550293,0.12680032402276992,0.902361598610878,0.04165114890784025,0.9789541095495224
5,0.0979926419556141,0.0979926419556141,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,16.21546745300293,0.12518835539619128,0.9666119123498599,0.12518835601707298,0.9036901618043581,0.039765803267558415,0.9799165611465772,0.12426608242094517,0.9670006513595581,0.1242660827934742,0.9044663846492768,0.03835083208978176,0.9806382983922959
6,0.10076887093981107,0.10076887093981107,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,16.9125235080719,0.12283162816117207,0.9673213506738345,0.1228316280990839,0.9056206961472829,0.03723458669458826,0.9812072311838468,0.12120296992361546,0.9676806956529618,0.12120297141373157,0.9068798065185547,0.03626774400472641,0.981699675321579
7,0.10300034476568304,0.10300034476568304,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,16.464447259902954,0.1197415528818965,0.9680788899461429,0.11974155368904273,0.9080871080358823,0.035376421827822926,0.9821536819140116,0.11895765699446201,0.9683328568935394,0.11895765773952008,0.9087473660707474,0.034449945949018,0.982625275850296
8,0.10434888159732024,0.10434888159732024,WAIT,noop,-1,-1,-1,normal,none,0.0,0.0,0.0,0.0,0.0,16.464428424835205,0.11807040236890316,0.9685145899653435,0.11807040218263865,0.909440474708875,0.033855717691282435,0.9829275225599606,0.11743059121072293,0.9687294363975525,0.11743059158325195,0.9099332958459854,0.033387134224176405,0.9831658244132996
9,0.10640834024051825,0.10640834024051825,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,16.680505514144897,0.1163514315461119,0.9689323787887891,0.1163514313598474,0.9108101159334183,0.032756863596538704,0.9834863801797231,0.11514779590070248,0.9692469805479049,0.1151477973908186,0.9118701577186584,0.03216443993151188,0.9837876379489898
10,0.10809834038093687,0.10809834038093687,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,16.957295656204224,0.11428186744451523,0.9694249684611956,0.11428186713407437,0.912485680480798,0.03183573164666693,0.983954572180907,0.11328203305602073,0.9696331769227982,0.11328203305602073,0.9133495122194291,0.03124251076951623,0.9842558264732361
11,0.10896322133516272,0.10896322133516272,WAIT,noop,-1,-1,-1,normal,none,0.0,0.0,0.0,0.0,0.0,17.609558582305908,0.11304085031151771,0.9697116618355115,0.11304085031151771,0.913478929301103,0.030884380685165524,0.984437861541907,0.11250962428748608,0.9698809057474136,0.11250962354242802,0.9138966470956802,0.030396622885018588,0.9846854954957962
12,0.10942556724945705,0.10942556724945705,GROW,add_width,1,2,1,plateau_step_planner_attention,activated_block_4_in_layer_1,0.25747948870807424,0.3163433314127545,0.3894241823412514,-0.13640850114170464,-999.0,29.287466764450073,0.11244530448069175,0.9698713357249896,0.11244530435651541,0.9139611055453618,0.030114676523953676,0.984828648964564,0.11215327978134156,0.9698989301919937,0.11215328015387058,0.9142490953207016,0.029775122925639153,0.985001015663147
13,0.11008146251986425,0.11008146251986425,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.25747948870807424,0.3163433314127545,0.3894241823412514,-0.13640850114170464,-999.0,25.044833421707153,0.11397583062450091,0.9694839586814245,0.11397583006570737,0.9127262905240059,0.030702932892988127,0.9845299844940504,0.11218305304646492,0.9699558287858963,0.11218305304646492,0.9141711860895156,0.029670275934040546,0.9850541949272156
14,0.11067297729477288,0.11067297729477288,WAIT,noop,-1,-1,-1,normal,none,0.25747948870807424,0.3163433314127545,0.3894241823412514,-0.13640850114170464,-999.0,29.309781551361084,0.11205587219446897,0.9699660743276278,0.11205587200820447,0.9142897213498752,0.02936094466907283,0.9852111806472142,0.11150244809687138,0.9701847463846207,0.11150244846940041,0.9146927982568741,0.028882861789315938,0.9854537755250931
15,0.11134802358349166,0.11134802358349166,GROW,add_step,3,0,1,plateau_step_planner_attention,activated_step_1_in_L3B0,0.4143196866118485,0.35301541776588563,0.37385952659530863,-0.19449504996213365,-999.0,24.159952878952026,0.11133512953917185,0.9701642016569774,0.11133512941499552,0.9148515616854032,0.028811103121067088,0.9854901229341825,0.11059155762195587,0.9703578740358353,0.11059155762195587,0.9154842227697373,0.02848590537905693,0.9856550335884094
