epoch,train_loss,train_ce,train_reg,train_acc,val_loss,val_acc,best_acc,class_cos,logits_cell_norm,stage_lb,evidence_lb,operator_lb,register_diversity,global_diversity,memory_diversity,operator_entropy_per_block,block_diversity,route_diversity,adapter_diversity,phase_role,global_skip_penalty,late_write,late_dyn_gate,weak_class_late_read,role_diversity,role_anchor,category_diversity,category_entropy,signal_op_bias_norm,lr,current_late_gate_floor,speed_data_ms,speed_forward_ms,speed_backward_ms,speed_optimizer_ms
1,2.297870405258671,2.22502762527876,7.293082403129932e-07,0.16624663978494625,2.0609828510284425,0.2205,0.2205,0.8784205317497253,2.05214861035347,0.0070265595568344,0.00013511583892977796,0.16478369943797588,1.55126953125,0.84765625,0.703857421875,0.0,0.9772806763648987,1.0,4.743199497170281e-06,0.40999576076865196,0.0,0.0,0.0,0.0,0.0,0.003832897753454745,0.9995728731155396,0.7072401344776154,2.0252498388290405,0.000125,0.2,12.837550075229016,206.754307838691,367.3205614085937,13.402530580596475
2,2.120405384289321,2.048687997684684,6.894056155864726e-07,0.24302755376344087,1.870184536933899,0.317,0.317,0.8514482378959656,2.912444591522217,0.007641779142431915,0.0003815900345216505,0.1882673315703869,1.5313720703125,0.84765625,0.68408203125,0.03489252692088485,0.9691335409879684,1.0,5.671858161804266e-06,0.3857056125998497,0.0,0.0,0.0,0.0,0.00012903026254207361,0.0014924127608537674,0.9995373114943504,0.6281226575374603,3.2141307592391968,0.00025,0.2,12.103046602229975,201.37968021514607,372.72556448378083,13.098861440886795
3,1.9700866514636624,1.902227335078742,6.719439370890638e-07,0.2962869623655914,1.7603227291107177,0.358,0.358,0.7008981108665466,2.8904865384101868,0.010677547543309629,0.0003475243065622635,0.14396973699331284,1.5023193359375,0.84716796875,0.6553955078125,0.04144097026437521,0.9746261611580849,0.9999644085764885,1.0865251169889234e-05,0.3410669304430485,0.0,0.0,0.0,0.0,7.298287982848706e-05,0.0005067702877568081,0.999476283788681,0.6235383525490761,3.529190868139267,0.000375,0.2,12.810349645122344,203.19981360209508,365.4406781289811,12.811027806560805
4,1.9045165764388217,1.8430008785699004,6.984823745438251e-07,0.318380376344086,1.7201526460647583,0.359,0.359,0.5793818235397339,3.5147290527820587,0.01735222851857543,0.0035289322258904576,0.15440032444894314,1.4678955078125,0.84716796875,0.62060546875,0.05527886049821973,0.960609570145607,0.9999847561120987,1.2294784028199501e-05,0.2789204642176628,0.0,0.0,0.0,6.055511292402116e-07,0.0,0.0001308992777921958,0.9997203350067139,0.5462780967354774,4.548868298530579,0.0005,0.2,12.200203537690623,204.0224010645464,368.43350217203545,12.968675096823473
5,1.802212897167411,1.7453962141467678,8.000668871592166e-07,0.3538306451612903,1.6457924013137817,0.373,0.373,0.48271840810775757,4.56649374961853,0.0261622064281255,0.00791418831795454,0.15008477680385113,1.3790283203125,0.84716796875,0.53204345703125,0.042107234708964825,0.937772773206234,0.9999694973230362,3.325860234326683e-05,0.27067824453115463,0.0,0.0,0.0,0.0,2.4160300199582707e-05,7.584655941172969e-05,0.9996949061751366,0.4840499199926853,5.436116576194763,0.0004993398052663416,0.2,11.514004903371534,204.23959763435852,374.83544354834385,13.596459870939881
6,1.7033235411490164,1.6503138708811935,8.896536329420117e-07,0.38986895161290325,1.5850207862854004,0.409,0.409,0.4052586853504181,4.723071038722992,0.0320391864515841,0.01005798124242574,0.13025164231657982,1.26025390625,0.8466796875,0.4136962890625,0.04122841218486428,0.9190028309822083,0.9998982921242714,7.62418767408235e-06,0.23800922185182571,0.0,0.0,0.0,0.0,0.0,8.451320994140588e-07,0.9996745735406876,0.4914194345474243,5.929088354110718,0.0004973630953505785,0.2,13.182135569994928,198.59561537641542,364.83549302139056,12.586611139829651
7,1.6310212471151864,1.5812084354380125,9.705864394535276e-07,0.41330645161290325,1.5914422397613526,0.4135,0.4135,0.34236419200897217,5.00319230556488,0.039547490421682596,0.007859983248636127,0.1393139809370041,1.1466064453125,0.846435546875,0.300201416015625,0.03658930864185095,0.9020091518759727,0.999496690928936,4.612703833117848e-06,0.22346126846969128,0.0,0.0,0.0,0.0,5.09639939139106e-07,0.0,0.9994763359427452,0.47651101276278496,6.367447674274445,0.0004940814703725003,0.2,11.578615892499181,197.80552198915424,364.6782442364804,12.102187817197441
8,1.5496848142275246,1.5028786172149002,1.0121596616993893e-06,0.4435483870967742,1.4325041618347167,0.466,0.466,0.2858956754207611,6.008910715579987,0.046880307607352734,0.006292189995292574,0.1400482151657343,1.062255859375,0.84619140625,0.216033935546875,0.019428954692557454,0.8421142399311066,0.998389832675457,4.310720396460965e-05,0.2114963550120592,0.0,0.0,0.0,0.0,0.0003773835451283958,0.0,0.9991917088627815,0.44155557453632355,6.627928197383881,0.0004895141882123594,0.2,11.621488354805518,198.7939625269064,363.759689924747,12.127587086109099
9,1.5110277116939586,1.4656380645690426,9.902309743030015e-07,0.4600974462365591,1.4473566856384277,0.454,0.466,0.28735628724098206,6.320467948913574,0.04004129068925977,0.00824312848271802,0.13383992575109005,1.010009765625,0.845703125,0.164459228515625,0.03130720159970224,0.7633277624845505,0.995695523917675,2.1653091607731767e-05,0.20779108442366123,0.0,0.0,0.0,0.0,0.0,0.0,0.9992222264409065,0.4177124872803688,6.882281541824341,0.00048368805149797133,0.19142857142857145,11.570011290357172,200.6191290108672,365.71053983873276,12.977380096833835
10,1.438936609093861,1.3951361845898371,1.0117274280096892e-06,0.4868111559139785,1.4060453853607178,0.492,0.492,0.2700776159763336,6.489821016788483,0.03831056086346507,0.005352229927666485,0.14387981034815311,0.974853515625,0.845703125,0.1291656494140625,0.0340723292902112,0.768493577837944,0.9906172379851341,1.34602460093447e-05,0.20505809411406517,0.0,0.0,0.0,0.0,0.0,0.0,0.9980299919843674,0.41273246333003044,7.705869436264038,0.0004766372503162375,0.18285714285714286,10.045951516154693,194.46870264523227,363.60424681721094,11.93398834396747
