-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us       1.580ms         2.83%       1.580ms      13.166us           0 b           0 b           0 b           0 b           120  
                                              aten::cat         0.27%       3.050ms         0.39%       4.350ms      62.137us       1.520ms         2.72%       1.520ms      21.710us           0 b           0 b     140.00 Mb     140.00 Mb            70  
                                  sgemm_32x32x32_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us       1.514ms         2.71%       1.514ms       9.465us           0 b           0 b           0 b           0 b           160  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.493ms         2.68%       1.493ms      24.888us           0 b           0 b           0 b           0 b            60  
void gemv2N_kernel<int, int, float, float, float, fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.483ms         2.66%       1.483ms      74.159us           0 b           0 b           0 b           0 b            20  
                                              aten::mul         0.97%      10.974ms         1.53%      17.224ms      47.843us       1.332ms         2.39%       1.332ms       3.699us           0 b           0 b     122.32 Mb     122.32 Mb           360  
      autograd::engine::evaluate_function: AddBackward0         0.57%       6.378ms         1.41%      15.829ms      71.950us       0.000us         0.00%       1.274ms       5.793us           0 b           0 b    -112.77 Mb    -155.00 Mb           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.127s
Self CUDA time total: 55.794ms
