epoch,score,best_score,mode,action,target_layer,target_block,reason,growth_detail,step_score,depth_score,width_score,primitive_score,seconds,train_block_mse,train_block_cos,train_delta_mse,train_delta_cos,train_norm_mse,train_norm_cos,val_block_mse,val_block_cos,val_delta_mse,val_delta_cos,val_norm_mse,val_norm_cos
25,0.11820651198799415,0.11870204230273763,WAIT,noop,-1,-1,normal,none,0.2371409137413059,0.2674135350229213,0.41046305349203666,-0.09593150824308394,16.322495937347412,0.10634605878343185,0.9712471306324005,0.10634605909387271,0.918825184305509,0.028144770565753183,0.9858273113767306,0.1024520866572857,0.9723725080490112,0.10245208591222763,0.9219292581081391,0.0259136070497334,0.9869588702917099
26,0.11880892886842291,0.11880892886842291,GROW,add_width,1,2,plateau_head_loss_read_pressure,activated_block_5_in_layer_1,0.18958659225771704,0.24384522603193204,0.334322998433498,-0.06531818151473999,16.989533185958862,0.10186919569969177,0.9724730347593625,0.10186919576177994,0.9223618512352307,0.025749343121424316,0.9870420013864835,0.10167504325509072,0.9723253071308136,0.10167504362761974,0.9225122988224029,0.0256812441162765,0.9870764642953873
27,0.12009276536355416,0.12009276536355416,EXPLOIT,sharpen,-1,-1,significant_best,none,0.18958659225771704,0.24384522603193204,0.334322998433498,-0.06531818151473999,16.32801103591919,0.10309744949142138,0.9721526245276133,0.10309744949142138,0.9213956152399381,0.026522749693443377,0.9866503233710925,0.1008367195725441,0.9728113412857056,0.1008367195725441,0.9231112152338028,0.025362577103078366,0.9872380197048187
28,0.12091280028472345,0.12091280028472345,WAIT,noop,-1,-1,normal,none,0.18958659225771704,0.24384522603193204,0.334322998433498,-0.06531818151473999,16.246885061264038,0.10041337013244629,0.9728470216194789,0.10041337050497531,0.9235665639241536,0.025158948823809625,0.9873410761356354,0.09992072433233261,0.9730017185211182,0.09992072433233261,0.9238807946443558,0.025247163139283657,0.9872963547706604
29,0.12190555686379474,0.12190555686379474,EXPLOIT,sharpen,-1,-1,significant_best,none,0.18958659225771704,0.24384522603193204,0.334322998433498,-0.06531818151473999,16.458768129348755,0.09924509866784016,0.9731341734528541,0.09924509854366383,0.9244805783033371,0.02492350231235226,0.9874602640668552,0.09873793423175811,0.9732516884803772,0.09873793423175811,0.92483369410038,0.024935019295662643,0.9874543249607086
30,0.12242944020777943,0.12242944020777943,WAIT,noop,-1,-1,normal,none,0.18958659225771704,0.24384522603193204,0.334322998433498,-0.06531818151473999,16.975944757461548,0.09834946536769469,0.9733438268303871,0.09834946524351836,0.9252083246906598,0.024706487419704597,0.9875700463851292,0.09818126074969769,0.9733582615852356,0.09818126074969769,0.925307708978653,0.02466703075915575,0.9875900477170945
31,0.12308248842880132,0.12308248842880132,GROW,add_depth,1,2,plateau_head_loss_read_pressure,activated_layer_4_at_order_2_ref_2,0.2611347494877112,0.33764501140296416,0.25574339864268836,-0.059678877294063556,16.67052698135376,0.09766112435609102,0.9735103651881218,0.09766112466653189,0.9257388606667518,0.024473365660135946,0.9876880660653115,0.09739497005939483,0.973528578877449,0.09739497005939483,0.9258800685405731,0.02442212840542197,0.9877139866352082
32,0.12333668413013221,0.12333668413013221,WAIT,noop,-1,-1,normal,none,0.2611347494877112,0.33764501140296416,0.25574339864268836,-0.059678877294063556,19.96384072303772,0.09745143341521421,0.9735444237788519,0.09745143329103788,0.9258935784300169,0.02447657429923614,0.9876864224672317,0.09703318066895009,0.9735783815383912,0.09703318066895009,0.9261920273303985,0.024228127859532832,0.9878121674060821
33,0.12373541955028972,0.12373541955028972,EXPLOIT,sharpen,-1,-1,significant_best,none,0.2611347494877112,0.33764501140296416,0.25574339864268836,-0.059678877294063556,20.079058408737183,0.09671197601904472,0.9737368851900101,0.09671197601904472,0.9264970600605011,0.024098231829702853,0.9878779162963232,0.09655851162970067,0.9737453848123551,0.0965585108846426,0.9266206622123718,0.023958373907953502,0.9879487305879593
34,0.12413212745885055,0.12413212745885055,WAIT,noop,-1,-1,normal,none,0.2611347494877112,0.33764501140296416,0.25574339864268836,-0.059678877294063556,20.154372692108154,0.09625149065007767,0.9738259797294935,0.096251490774254,0.9268335883816083,0.023925979249179365,0.9879650920629501,0.09598090909421444,0.9737611830234527,0.09598090834915637,0.9270101189613342,0.023841333761811256,0.9880079478025436
35,0.1243412180195252,0.1243412180195252,GROW,add_depth,1,2,plateau_head_loss_read_pressure,activated_layer_5_at_order_2_ref_4,0.2558478068991494,0.27877541478439455,0.2478325079424927,-0.05966266401112079,20.131999254226685,0.09590716976672412,0.9739058916767438,0.0959071695804596,0.9270954901973406,0.02379311725186805,0.988032321135203,0.09575189054012298,0.9739505887031555,0.09575189016759396,0.9272486478090286,0.023663462698459627,0.9880978614091873
36,0.12462713460003337,0.12462713460003337,WAIT,noop,-1,-1,normal,none,0.2558478068991494,0.27877541478439455,0.2478325079424927,-0.05966266401112079,23.119656085968018,0.09553890886406104,0.9739971260229746,0.09553890867779652,0.9273523588975271,0.023704334472616512,0.9880772272745768,0.09511498548090458,0.9739940881729126,0.09511498585343361,0.9276992470026016,0.02359686465933919,0.9881316095590591
37,0.12533750417952735,0.12533750417952735,EXPLOIT,sharpen,-1,-1,significant_best,none,0.2558478068991494,0.27877541478439455,0.2478325079424927,-0.05966266401112079,22.787137031555176,0.09482627008110285,0.9741505861282349,0.09482627032945554,0.9279744148254394,0.02358056539669633,0.9881398503979048,0.09423076063394546,0.9743248343467712,0.0942307610064745,0.9284211546182632,0.023431777488440275,0.9882150590419769
38,0.12573591095705827,0.12573591095705827,WAIT,noop,-1,-1,normal,none,0.2558478068991494,0.27877541478439455,0.2478325079424927,-0.05966266401112079,22.997765064239502,0.09400980025529862,0.9743404174844424,0.09400979994485775,0.9286349614461263,0.023421430339415867,0.9882203544179599,0.09366194121539592,0.9743643432855607,0.0936619408428669,0.9288023889064789,0.023352735489606858,0.9882550656795501
39,0.12596668211122355,0.12596668211122355,GROW,add_width,0,2,plateau_head_loss_read_pressure,activated_block_5_in_layer_0,0.2177928029899714,0.13233323893325194,0.31445840448050855,-0.12106344908475875,23.419620513916016,0.0932306952153643,0.9745200380682946,0.09323069540162882,0.9291992430885633,0.023248697988068064,0.9883077338337898,0.09332996793091297,0.9746606826782227,0.093329968303442,0.9291536003351212,0.02334566041827202,0.9882587164640426
40,0.12553901228805384,0.12596668211122355,WAIT,noop,-1,-1,normal,none,0.2177928029899714,0.13233323893325194,0.31445840448050855,-0.12106344908475875,23.512158632278442,0.09690154505272706,0.9735034525394439,0.09690154492855071,0.9263365179300308,0.025276217656210066,0.987280893822511,0.09345667697489261,0.9743855953216553,0.09345667585730552,0.9289887219667434,0.02346412166953087,0.988198670744896
41,0.12632795582711695,0.12632795582711695,GROW,add_width,0,2,plateau_head_loss_read_pressure,activated_block_6_in_layer_0,0.22805158687322902,0.14871616111680958,0.24054814784575415,-0.1378292915225029,22.73598051071167,0.09282515787829955,0.9746132582426071,0.09282515831291675,0.9295028860370318,0.023205001077925166,0.9883298516273499,0.09254175834357739,0.9747468531131744,0.09254175759851932,0.9297955304384231,0.023178907856345177,0.9883431196212769
42,0.12667850926518442,0.12667850926518442,WAIT,noop,-1,-1,normal,none,0.22805158687322902,0.14871616111680958,0.24054814784575415,-0.1378292915225029,23.08143663406372,0.09228558354079723,0.9747445563475291,0.09228558347870906,0.9299361894528071,0.02307837240708371,0.9883938575784366,0.09211264662444592,0.9746118485927582,0.09211264774203301,0.9301299005746841,0.02297125495970249,0.9884480565786362
43,0.12737649120514594,0.12737649120514594,EXPLOIT,sharpen,-1,-1,significant_best,none,0.22805158687322902,0.14871616111680958,0.24054814784575415,-0.1378292915225029,23.07968235015869,0.09158179468164841,0.974916868408521,0.09158179499208927,0.9305324320991833,0.022954997885972262,0.9884562760591507,0.0911908619105816,0.9749535143375396,0.09119086116552352,0.9308482676744461,0.022917557042092085,0.9884751617908478
44,0.12815203205744427,0.12815203205744427,WAIT,noop,-1,-1,normal,none,0.22805158687322902,0.14871616111680958,0.24054814784575415,-0.1378292915225029,23.512866973876953,0.09067641540120046,0.975110241274039,0.09067641577372948,0.931236765285333,0.022755913203582168,0.9885569458206495,0.0902663603425026,0.9752281755208969,0.09026635996997356,0.931525981426239,0.02264471985399723,0.9886131972074509
45,0.12870073912044366,0.12870073912044366,GROW,add_width,1,5,plateau_head_loss_read_pressure,activated_block_6_in_layer_1,0.21065843051938693,0.16515208341977683,0.22319360091813364,-0.06057961463928223,23.996867179870605,0.09002727468808493,0.9752597595254581,0.09002727487434943,0.9317153677344322,0.022589432510236897,0.98864117115736,0.08966290950775146,0.9753829896450043,0.08966291025280952,0.932026007771492,0.02236001305282116,0.9887571543455124
