epoch,score,best_score,mode,action,target_layer,target_block,reason,growth_detail,step_score,depth_score,width_score,primitive_score,seconds,train_block_mse,train_block_cos,train_delta_mse,train_delta_cos,train_norm_mse,train_norm_cos,val_block_mse,val_block_cos,val_delta_mse,val_delta_cos,val_norm_mse,val_norm_cos
1,0.0021323555062214795,0.0021323555062214795,EXPLOIT,sharpen,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,17.058122396469116,0.6828418254852295,0.9181371415654819,0.6828418247401714,0.5911768431620051,0.11389073971658945,0.9426585584878922,0.2418896920979023,0.9569687604904175,0.24188969433307647,0.8475831836462021,0.07363595180213452,0.9625081300735474
2,0.06369939365734659,0.06369939365734659,EXPLOIT,sharpen,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,16.531373023986816,0.19011795942982038,0.9588392967979114,0.19011795880893867,0.8682044669985771,0.06877574197327098,0.9650012786189716,0.15932552814483641,0.9604852288961411,0.15932552739977837,0.8796083450317382,0.062214395590126516,0.9683934539556504
3,0.08325649314622084,0.08325649314622084,EXPLOIT,sharpen,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,16.2164945602417,0.14592618395884832,0.9617029964923859,0.14592618358631929,0.8874917154510816,0.0541492648422718,0.9725472534696261,0.13912068381905557,0.9626821160316468,0.13912068158388138,0.8923081964254379,0.048594122752547264,0.9754020780324936
4,0.09490387550244732,0.09490387550244732,EXPLOIT,sharpen,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,16.41591453552246,0.13197473312417665,0.9646466727058093,0.13197473300000032,0.8981895178556443,0.04468961947908004,0.9774007499217987,0.126800324767828,0.9661097526550293,0.12680032402276992,0.902361598610878,0.04165114890784025,0.9789541095495224
5,0.0979926419556141,0.0979926419556141,EXPLOIT,sharpen,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,16.674409866333008,0.12518835539619128,0.9666119123498599,0.12518835601707298,0.9036901618043581,0.039765803267558415,0.9799165611465772,0.12426608242094517,0.9670006513595581,0.1242660827934742,0.9044663846492768,0.03835083208978176,0.9806382983922959
6,0.10076887093981107,0.10076887093981107,EXPLOIT,sharpen,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,16.452651023864746,0.12283162816117207,0.9673213506738345,0.1228316280990839,0.9056206961472829,0.03723458669458826,0.9812072311838468,0.12120296992361546,0.9676806956529618,0.12120297141373157,0.9068798065185547,0.03626774400472641,0.981699675321579
7,0.10300034476568304,0.10300034476568304,EXPLOIT,sharpen,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,16.760518312454224,0.1197415528818965,0.9680788899461429,0.11974155368904273,0.9080871080358823,0.035376421827822926,0.9821536819140116,0.11895765699446201,0.9683328568935394,0.11895765773952008,0.9087473660707474,0.034449945949018,0.982625275850296
8,0.10434888159732024,0.10434888159732024,WAIT,noop,-1,-1,normal,none,0.0,0.0,0.0,0.0,16.66131043434143,0.11807040236890316,0.9685145899653435,0.11807040218263865,0.909440474708875,0.033855717691282435,0.9829275225599606,0.11743059121072293,0.9687294363975525,0.11743059158325195,0.9099332958459854,0.033387134224176405,0.9831658244132996
9,0.10640834024051825,0.10640834024051825,EXPLOIT,sharpen,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,16.61782693862915,0.1163514315461119,0.9689323787887891,0.1163514313598474,0.9108101159334183,0.032756863596538704,0.9834863801797231,0.11514779590070248,0.9692469805479049,0.1151477973908186,0.9118701577186584,0.03216443993151188,0.9837876379489898
10,0.10809834038093687,0.10809834038093687,EXPLOIT,sharpen,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,16.611313819885254,0.11428186744451523,0.9694249684611956,0.11428186713407437,0.912485680480798,0.03183573164666693,0.983954572180907,0.11328203305602073,0.9696331769227982,0.11328203305602073,0.9133495122194291,0.03124251076951623,0.9842558264732361
11,0.10896322133516272,0.10896322133516272,WAIT,noop,-1,-1,normal,none,0.0,0.0,0.0,0.0,16.3668692111969,0.11304085031151771,0.9697116618355115,0.11304085031151771,0.913478929301103,0.030884380685165524,0.984437861541907,0.11250962428748608,0.9698809057474136,0.11250962354242802,0.9138966470956802,0.030396622885018588,0.9846854954957962
12,0.10942556724945705,0.10942556724945705,GROW,add_width,1,2,plateau_head_loss_read_pressure,activated_block_4_in_layer_1,0.25801126969052995,0.24998837335663382,0.41892628507390983,-0.10666554689407348,17.319828033447266,0.11244530448069175,0.9698713357249896,0.11244530435651541,0.9139611055453618,0.030114676523953676,0.984828648964564,0.11215327978134156,0.9698989301919937,0.11215328015387058,0.9142490953207016,0.029775122925639153,0.985001015663147
13,0.11008146251986425,0.11008146251986425,EXPLOIT,sharpen,-1,-1,significant_best,none,0.25801126969052995,0.24998837335663382,0.41892628507390983,-0.10666554689407348,21.543821811676025,0.11397583062450091,0.9694839586814245,0.11397583006570737,0.9127262905240059,0.030702932892988127,0.9845299844940504,0.11218305304646492,0.9699558287858963,0.11218305304646492,0.9141711860895156,0.029670275934040546,0.9850541949272156
14,0.11067297729477288,0.11067297729477288,WAIT,noop,-1,-1,normal,none,0.25801126969052995,0.24998837335663382,0.41892628507390983,-0.10666554689407348,28.124268531799316,0.11205587219446897,0.9699660743276278,0.11205587200820447,0.9142897213498752,0.02936094466907283,0.9852111806472142,0.11150244809687138,0.9701847463846207,0.11150244846940041,0.9146927982568741,0.028882861789315938,0.9854537755250931
15,0.11134802358349166,0.11134802358349166,GROW,add_width,3,0,plateau_head_loss_read_pressure,activated_block_4_in_layer_3,0.30494354430560555,0.2644326852082265,0.3989870928285859,-0.1445126348733902,17.336484909057617,0.11133512953917185,0.9701642016569774,0.11133512941499552,0.9148515616854032,0.028811103121067088,0.9854901229341825,0.11059155762195587,0.9703578740358353,0.11059155762195587,0.9154842227697373,0.02848590537905693,0.9856550335884094
16,0.11216610567892592,0.11216610567892592,EXPLOIT,sharpen,-1,-1,significant_best,none,0.30494354430560555,0.2644326852082265,0.3989870928285859,-0.1445126348733902,16.868077754974365,0.11215130568792422,0.9699502771099409,0.11215130556374789,0.9142251928647359,0.029644394184773167,0.9850673213601112,0.10984271392226219,0.9705741941928864,0.10984271392226219,0.9160136580467224,0.02864400139078498,0.9855748504400254
17,0.11379125160227219,0.11379125160227219,EXPLOIT,sharpen,-1,-1,significant_best,none,0.30494354430560555,0.2644326852082265,0.3989870928285859,-0.1445126348733902,17.30622410774231,0.10914391757299503,0.9706809868415197,0.1091439176350832,0.9166060666243235,0.028334131774803,0.9857319916288058,0.10818852409720421,0.9709743708372116,0.10818852297961712,0.9173478454351425,0.02787690106779337,0.9859638929367065
18,0.11456563279901942,0.11456563279901942,WAIT,noop,-1,-1,normal,none,0.30494354430560555,0.2644326852082265,0.3989870928285859,-0.1445126348733902,16.967449188232422,0.10791571817050377,0.9709962020317714,0.1079157181084156,0.9175567676623663,0.027751432095343868,0.986027484635512,0.10735985450446606,0.9711024910211563,0.10735985487699509,0.9179848909378052,0.02750599952414632,0.9861519277095795
19,0.11521245544900498,0.11521245544900498,GROW,add_width,2,0,plateau_head_loss_read_pressure,activated_block_4_in_layer_2,0.335294491475402,0.32338328606694045,0.4004301195285312,-0.1447253945469856,17.388061046600342,0.10724420802046855,0.9711608792344729,0.1072442077100277,0.9180913478136062,0.027392504069333277,0.9862094283103943,0.10671532787382602,0.9712338775396347,0.10671532861888408,0.918487823009491,0.02714324165135622,0.9863358438014984
20,0.11538211628670494,0.11538211628670494,EXPLOIT,sharpen,-1,-1,significant_best,none,0.335294491475402,0.32338328606694045,0.4004301195285312,-0.1447253945469856,16.887953519821167,0.10776062073806922,0.9710255801677704,0.10776062042762836,0.9177134732405344,0.027679533154393237,0.9860638802250227,0.10654798150062561,0.9714018076658248,0.10654798187315465,0.9187504887580872,0.026961636263877153,0.9864277869462967
21,0.11567814117545884,0.11567814117545884,WAIT,noop,-1,-1,normal,none,0.335294491475402,0.32338328606694045,0.4004301195285312,-0.1447253945469856,16.98304772377014,0.10640170679738124,0.9713950435320536,0.10640170654902856,0.9187979320685069,0.026937476561094322,0.9864400928219159,0.10613547712564468,0.9713246166706085,0.10613547824323177,0.9189564138650894,0.02690521301701665,0.9864564776420593
22,0.11739009281744563,0.11739009281744563,EXPLOIT,sharpen,-1,-1,significant_best,none,0.335294491475402,0.32338328606694045,0.4004301195285312,-0.1447253945469856,17.032006978988647,0.10493224437038104,0.9717356984814008,0.10493224418411652,0.9199535970886549,0.026725232616687813,0.9865476330121358,0.10394426211714744,0.9719003826379776,0.10394426137208938,0.9206965506076813,0.026540827937424183,0.9866410821676255
23,0.11835841190442443,0.11835841190442443,WAIT,noop,-1,-1,normal,none,0.335294491475402,0.32338328606694045,0.4004301195285312,-0.1447253945469856,16.590206146240234,0.10333337852110465,0.972099810341994,0.10333337852110465,0.9212075293064117,0.026384526366988816,0.9867203007141749,0.10279273167252541,0.9722532391548157,0.10279273167252541,0.9216314315795898,0.026133675407618285,0.9868473410606384
24,0.11870204230273763,0.11870204230273763,GROW,add_width,0,0,plateau_head_loss_read_pressure,activated_block_4_in_layer_0,0.2371409137413059,0.2674135350229213,0.41046305349203666,-0.09593150824308394,16.603371143341064,0.10257080992062886,0.9722941751281421,0.10257080979645253,0.921839972337087,0.026060147769749166,0.9868845790624619,0.10239350870251655,0.9723672032356262,0.10239350907504559,0.9219966799020767,0.0259551796130836,0.9869377344846726
