epoch,train_loss,train_mse,train_cos,val_mse,val_cos,score,best_score,mode,action,reward,category_temp,primitive_temp,seconds
1,0.3831115785986185,0.33545769061893227,0.8093844398235281,0.10401257053017617,0.9465866535902023,0.11354973837733269,0.11354973837733269,EXPLOIT,noop,0.0,1.4,1.2,11.648046255111694
2,0.10544402524828911,0.0934822078794241,0.95215273052454,0.08144398927688598,0.9585067451000213,0.13710156321525574,0.13710156321525574,EXPLOIT,noop,0.02355182483792305,1.4,1.2,11.171924114227295
3,0.07906575438876946,0.07017180894811949,0.9644242177406946,0.05919075272977352,0.970188844203949,0.16059575296938422,0.16059575296938422,EXPLOIT,noop,0.02349418975412848,1.4,1.2,10.984003067016602
4,0.055435343428204456,0.04925758174310128,0.9752889528870583,0.03996011186391115,0.9800693929195404,0.18054033111780882,0.18054033111780882,EXPLOIT,sharpen_exploit,0.019944578148424597,1.25,1.0999999999999999,10.962523221969604
5,0.03661615791109701,0.03256850965941946,0.9838094065586726,0.0258738836273551,0.9872380763292312,0.19780198071151972,0.19780198071151972,EXPLOIT,sharpen_exploit,0.017261649593710904,1.1,0.9999999999999999,11.082453489303589
6,0.023718652750054994,0.02110718215505282,0.9895541176199913,0.016866496112197638,0.9915671437978745,0.207914848420769,0.207914848420769,EXPLOIT,sharpen_exploit,0.010112867709249268,0.9500000000000001,0.8999999999999999,10.975632905960083
7,0.015849496400915087,0.014104424548956255,0.9930197124679884,0.011573717417195439,0.9942661702632904,0.21308269280008973,0.21308269280008973,EXPLOIT,sharpen_exploit,0.005167844379320746,0.8,0.7999999999999999,11.192293405532837
8,0.011527713264028232,0.01025586115817229,0.9949125915765762,0.009001751802861691,0.9955177813768387,0.21454054925590754,0.21454054925590754,WAIT,noop,0.0014578564558178075,0.8,0.7999999999999999,10.949913501739502
9,0.009294218360446393,0.00826674655545503,0.9958901127179464,0.00755058005452156,0.9962561696767807,0.21515096649527551,0.21515096649527551,EXPLOIT,sharpen_exploit,0.0006104172393679719,0.65,0.7,10.870998859405518
10,0.008211421446564298,0.007302375630630801,0.9963638166586558,0.007101998990401625,0.9964554101228714,0.21517330103553836,0.21517330103553836,WAIT,noop,2.2334540262847202e-05,0.65,0.7,11.158949375152588
11,0.007604701009889444,0.006762505512839804,0.9966312179962794,0.006459630583412946,0.9967908203601837,0.21569553985726092,0.21569553985726092,EXPLORE,explore_categories,0.0005222388217225593,0.8500000000000001,0.7999999999999999,11.168701171875
